State,Colonies,Max Colonies,Lost Colonies,Colonies Added,Colonies Trenovated,Quarter,Year,Mites,Other pests,Diseases ,Pesticides,"Other Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc.",Unknown
Alabama,7000,7000,1800,2800,250,Q1,2015,10,5.4,(Z),2.2,9.1,9.4
Arizona,35000,35000,4600,3400,2100,Q1,2015,26.9,20.5,0.1,(Z),1.8,3.1
Arkansas,13000,14000,1500,1200,90,Q1,2015,17.6,11.4,1.5,3.4,1,1
California,1440000,1690000,255000,250000,124000,Q1,2015,24.7,7.2,3,7.5,6.5,2.8
Colorado,3500,12500,1500,200,140,Q1,2015,14.6,0.9,1.8,0.6,2.6,5.9
Connecticut,3900,3900,870,290,,Q1,2015,2.5,1.4,,,21.2,2.4
Florida,305000,315000,42000,54000,25000,Q1,2015,22.3,13.5,0.8,8.9,5.1,4.4
Georgia,104000,105000,14500,47000,9500,Q1,2015,6.2,4.9,3.3,2.6,4.8,10.5
Hawaii,10500,10500,380,3400,760,Q1,2015,38.8,37.7,1.6,,2,
Idaho,81000,88000,3700,2600,8000,Q1,2015,39.8,6.7,12.5,4.8,8.9,4.9
Illinois,6000,10500,4200,2300,390,Q1,2015,12.3,6.9,0.7,0.4,12.6,11.6
Indiana,9000,9500,2100,490,120,Q1,2015,20.7,0.3,0.2,0.3,22.3,11.7
Iowa,12500,17500,3100,1700,270,Q1,2015,26,0.7,4.6,3.4,18,3.4
Kansas,4600,7000,1600,450,70,Q1,2015,32.7,1.3,1.1,14.2,9.5,3.4
Kentucky,7500,10500,4100,250,,Q1,2015,10.8,10.7,2.5,2.5,22.7,12.9
Louisiana,51000,51000,8000,3100,6500,Q1,2015,17.2,4.7,4.3,1.7,3.1,2.1
Maine,3100,6500,380,20,,Q1,2015,4.4,0.1,,,7.5,1.9
Maryland,7500,10000,4100,1600,870,Q1,2015,10.1,1.8,0.4,,24.2,12.4
Massachusetts,2900,4600,1000,260,120,Q1,2015,23.5,3.5,2.1,2.8,7.6,4.7
Michigan,16500,60000,11500,7500,2400,Q1,2015,14.3,3.1,1.1,1.6,8.3,4.6
Minnesota,28000,74000,3700,690,530,Q1,2015,1.4,0.1,,0.1,1.6,2.1
Mississippi,34000,76000,8500,22000,7500,Q1,2015,9.4,8.2,0.1,2.1,1.2,1.1
Missouri,12000,13000,2000,220,910,Q1,2015,13.1,6,2.2,4.2,11.8,6.3
Montana,8500,36000,2200,1400,1100,Q1,2015,8.7,0.5,0.6,0.8,2.3,7.9
Nebraska,10000,31000,2600,120,310,Q1,2015,5.9,0.1,0.1,0.5,0.3,3
New Jersey,6000,9000,1100,570,1600,Q1,2015,40.1,13.2,30.4,11.1,19.5,16.7
New Mexico,7000,7000,690,190,600,Q1,2015,17.1,0.1,,0.2,1.3,0.4
New York,27000,30000,6500,430,950,Q1,2015,7.6,2.6,0.5,4.4,12.4,8.3
North Carolina,24000,26000,7000,6000,690,Q1,2015,35.5,2.3,0.1,22.9,6.2,12.2
North Dakota,57000,120000,620,1800,530,Q1,2015,1.7,1.7,,,2.5,0.1
Ohio,18000,22000,10500,5000,3300,Q1,2015,10.7,1.6,1,3,17.8,3.1
Oklahoma,9500,26000,6000,2600,260,Q1,2015,14.5,10.1,0.5,,2.1,2.9
Oregon,77000,87000,6500,4300,2400,Q1,2015,20.2,,0.4,0.6,1.6,1.1
Pennsylvania,14000,21000,6500,360,,Q1,2015,28.1,6.3,1.9,1.9,17.8,6.3
South Carolina,17000,17500,2700,2700,1400,Q1,2015,10.5,2.3,0.2,0.3,3.6,2.9
South Dakota,50000,97000,4600,8500,2800,Q1,2015,1.2,0.9,0.3,0.5,1.2,1.8
Tennessee,9500,9500,2000,1000,190,Q1,2015,22.2,17.1,,,13,4.4
Texas,191000,250000,26000,82000,51000,Q1,2015,21.5,12.2,5,11.1,2.3,6.2
