State,Colonies,Lost Colonies,Colonies Added,Year,Lost Unknown
Alabama,7000,1800,2800,2015,169
Arizona,35000,4600,3400,2015,143
Arkansas,13000,1500,1200,2015,15
California,1440000,255000,250000,2015,7140
Colorado,3500,1500,200,2015,89
Connecticut,3900,870,290,2015,21
Florida,305000,42000,54000,2015,1848
Georgia,104000,14500,47000,2015,1523
Hawaii,10500,380,3400,2015,0
Idaho,81000,3700,2600,2015,181
Illinois,6000,4200,2300,2015,487
Indiana,9000,2100,490,2015,246
Iowa,12500,3100,1700,2015,105
Kansas,4600,1600,450,2015,54
Kentucky,7500,4100,250,2015,529
Louisiana,51000,8000,3100,2015,168
Maine,3100,380,20,2015,7
Maryland,7500,4100,1600,2015,508
Massachusetts,2900,1000,260,2015,47
Michigan,16500,11500,7500,2015,529
Minnesota,28000,3700,690,2015,78
Mississippi,34000,8500,22000,2015,94
Missouri,12000,2000,220,2015,126
Montana,8500,2200,1400,2015,174
Nebraska,10000,2600,120,2015,78
New Jersey,6000,1100,570,2015,184
New Mexico,7000,690,190,2015,3
New York,27000,6500,430,2015,540
North Carolina,24000,7000,6000,2015,854
North Dakota,57000,620,1800,2015,1
Ohio,18000,10500,5000,2015,326
Oklahoma,9500,6000,2600,2015,174
Oregon,77000,6500,4300,2015,72
Pennsylvania,14000,6500,360,2015,410
South Carolina,17000,2700,2700,2015,78
South Dakota,50000,4600,8500,2015,83
Tennessee,9500,2000,1000,2015,88
Texas,191000,26000,82000,2015,1612
Utah,6000,3300,2500,2015,17
Vermont,5500,700,1200,2015,34
Virginia,8000,2500,800,2015,298
Washington,52000,14000,13500,2015,154
West Virginia,4700,1800,570,2015,110
Wisconsin,16500,8000,3100,2015,464
Wyoming,5500,2000,2000,2015,0
Alabama,7500,860,1900,2015,35
Arizona,33000,5500,19500,2015,17
Arkansas,13500,1900,11500,2015,177
California,1040000,104000,170000,2015,3224
Colorado,12000,1900,6000,2015,125
Connecticut,3000,80,1100,2015,1
Florida,210000,35000,44000,2015,1890
Georgia,114000,23000,25000,2015,943
Hawaii,13500,120,1100,2015,0
Idaho,62000,6500,16500,2015,20
Illinois,9500,1300,6000,2015,31
Indiana,8000,1300,4900,2015,26
Iowa,12500,1400,6500,2015,27
Kansas,6000,670,2800,2015,33
Kentucky,7500,980,3600,2015,28
Louisiana,44000,1800,6500,2015,9
Maine,4600,3200,3500,2015,3
Maryland,8000,370,2600,2015,6
Massachusetts,4100,320,940,2015,10
Michigan,58000,9500,13500,2015,295
Minnesota,71000,12500,20000,2015,1163
Mississippi,89000,11000,5500,2015,187
Missouri,11500,500,1900,2015,37
Montana,36000,4200,14000,2015,0
Nebraska,29000,4100,15500,2015,62
New Jersey,8500,1800,2100,2015,43
New Mexico,6500,1000,1500,2015,27
New York,24000,1100,11000,2015,12
North Carolina,19500,1800,5500,2015,54
North Dakota,121000,29000,39000,2015,87
Ohio,17500,2100,10000,2015,609
Oklahoma,25000,2200,5500,2015,42
Oregon,82000,5500,14500,2015,22
Pennsylvania,15500,1600,8500,2015,34
South Carolina,17500,950,1100,2015,7
South Dakota,100000,21000,27000,2015,315
Tennessee,7500,730,3600,2015,22
Texas,305000,33000,76000,2015,990
Utah,24000,3400,10000,2015,41
Vermont,6000,100,580,2015,0
Virginia,7500,270,2100,2015,12
Washington,105000,5000,15000,2015,25
West Virginia,4700,570,2900,2015,25
Wisconsin,25000,4600,10000,2015,106
Wyoming,12000,3200,7500,2015,77
Alabama,8500,1400,160,2015,248
Arizona,40000,6000,4300,2015,306
Arkansas,23000,9000,500,2015,126
California,730000,76000,40000,2015,3572
Colorado,29000,4500,1400,2015,122
Connecticut,3700,50,190,2015,0
Florida,164000,36000,37000,2015,1224
Georgia,108000,13000,19500,2015,468
Hawaii,14500,2700,1200,2015,0
Idaho,80000,14000,5500,2015,896
Illinois,14000,1400,1300,2015,14
Indiana,15000,1600,1400,2015,99
Iowa,29000,3000,640,2015,102
Kansas,9000,1000,100,2015,17
Kentucky,10000,1300,170,2015,26
Louisiana,50000,2000,2300,2015,4
Maine,6000,450,410,2015,35
Maryland,7000,680,730,2015,14
Massachusetts,7500,560,290,2015,2
Michigan,89000,7000,3300,2015,616
Minnesota,133000,32000,640,2015,2304
Mississippi,23000,3500,260,2015,49
Missouri,14000,1200,700,2015,17
Montana,140000,10500,3200,2015,557
Nebraska,67000,6000,500,2015,258
New Jersey,18500,210,190,2015,1
New Mexico,6500,1600,1300,2015,11
New York,44000,6500,4400,2015,98
North Carolina,24000,2900,2500,2015,247
North Dakota,460000,93000,11000,2015,3441
Ohio,23000,1900,2300,2015,32
Oklahoma,19500,230,160,2015,1
Oregon,68000,8500,8000,2015,323
Pennsylvania,25000,1800,1800,2015,14
South Carolina,12000,2000,880,2015,60
South Dakota,295000,53000,2100,2015,3021
Tennessee,10000,1200,500,2015,12
Texas,76000,16500,5500,2015,858
Utah,31000,8000,1400,2015,8
Vermont,6000,40,30,2015,0
Virginia,8000,680,520,2015,61
Washington,84000,11500,1800,2015,35
West Virginia,7000,300,300,2015,3
Wisconsin,60000,9000,1300,2015,1215
Wyoming,29000,2500,270,2015,10
Alabama,8000,610,80,2015,69
Arizona,36000,12000,3000,2015,864
Arkansas,23000,2400,1900,2015,194
California,750000,149000,39000,2015,6407
Colorado,24000,2500,3400,2015,5
Connecticut,3200,210,40,2015,4
Florida,220000,37000,30000,2015,555
Georgia,110000,18000,4400,2015,702
Hawaii,13000,690,2700,2015,0
Idaho,121000,22000,5500,2015,66
Illinois,14000,690,-,2015,72
Indiana,11500,1100,140,2015,61
Iowa,35000,4300,40,2015,525
Kansas,8500,3400,50,2015,197
Kentucky,8500,1100,20,2015,83
Louisiana,55000,4900,1100,2015,74
Maine,4700,60,530,2015,1
Maryland,7500,730,,2015,6
Massachusetts,4500,260,30,2015,3
Michigan,67000,9000,210,2015,927
Minnesota,104000,10000,600,2015,1420
Mississippi,31000,1500,500,2015,132
Missouri,13500,690,30,2015,37
Montana,116000,10000,1000,2015,10
Nebraska,72000,7000,10,2015,28
New Jersey,8000,270,20,2015,22
New Mexico,6000,290,290,2015,1
New York,45000,4000,260,2015,104
North Carolina,22000,2200,510,2015,55
North Dakota,230000,35000,2700,2015,3465
Ohio,19000,2400,200,2015,127
Oklahoma,5000,650,290,2015,270
Oregon,100000,8500,200,2015,26
Pennsylvania,22000,2500,1300,2015,115
South Carolina,10000,2200,640,2015,108
South Dakota,194000,9000,2400,2015,27
Tennessee,8500,1100,70,2015,120
Texas,125000,25000,13000,2015,675
Utah,28000,1900,120,2015,11
Vermont,6500,940,10,2015,16
Virginia,7500,750,-,2015,29
Washington,87000,6500,330,2015,351
West Virginia,7000,610,190,2015,40
Wisconsin,48000,6500,210,2015,611
Wyoming,24000,1300,30,2015,21
Alabama,7500,1700,2100,2016,192
Arizona,30000,4700,3500,2016,338
Arkansas,27000,5000,5000,2016,405
California,1130000,200000,210000,2016,8800
Colorado,5000,750,1700,2016,2
Connecticut,2700,270,70,2016,5
Florida,275000,40000,49000,2016,560
Georgia,100000,15500,36000,2016,605
