State,Colonies,Lost Colonies,Year,Lost Unknown,Percent Lost
Alabama,2303,765,2015,521.19,0.332175423
Alabama,367,128,2016,506.17,0.348773842
Alabama,1776,819,2017,258.7,0.461148649
Alabama,2303,742,2018,228.4,0.32218845
Arizona,176,114,2016,1409.7,0.647727273
Arizona,1576,1228,2017,409,0.779187817
Arkansas,586,234,2015,512.1,0.399317406
Arkansas,1940,770,2016,502.2,0.396907216
Arkansas,3953,1858,2017,250.5,0.470022768
Arkansas,586,234,2018,1452.3,0.399317406
California,300959,119782,2015,20343,0.398001057
California,246959,75322,2016,29085,0.304997996
California,141770,48769,2017,27522,0.344000846
California,300959,119782,2018,30733,0.398001057
Colorado,3394,984,2015,340.4,0.289923394
Colorado,448,216,2016,14.3,0.482142857
Colorado,3634,839,2017,440.1,0.230875069
Colorado,3394,984,2018,399.6,0.289923394
Connecticut,111,44,2015,25.01,0.396396396
Connecticut,345,213,2016,15.23,0.617391304
Connecticut,448,327,2017,27.54,0.729910714
Connecticut,111,44,2018,12,0.396396396
Florida,25189,10126,2015,5517,0.402000873
Florida,46181,13485,2016,4197,0.292003205
Florida,17663,7065,2017,33470,0.399988677
Florida,25189,10126,2018,23877,0.402000873
Georgia,11278,5628,2015,3635.5,0.49902465
Georgia,25731,7848,2016,1959.5,0.305001749
Georgia,7547,3200,2017,2637.5,0.42400954
Georgia,11278,5628,2018,5088,0.49902465
Hawaii,75,20,2016,0.97,0.266666667
Idaho,79307,28392,2015,1162.8,0.358001185
Idaho,51283,14000,2016,1211,0.27299495
Idaho,12973,4748,2017,1168,0.365990904
Idaho,79307,28392,2018,1847,0.358001185
Illinois,880,508,2015,604.16,0.577272727
Illinois,467,276,2016,187.6,0.591006424
Illinois,1232,718,2017,374.5,0.582792208
Illinois,880,508,2018,442.8,0.577272727
Indiana,16575,6017,2015,431.4,0.363016591
Indiana,529,219,2016,97.79,0.413988658
Indiana,7983,2187,2017,303.9,0.273957159
Indiana,16575,6017,2018,137.65,0.363016591
Iowa,990,682,2015,758.6,0.688888889
Iowa,400,274,2016,877.7,0.685
Iowa,1554,937,2017,778.5,0.602960103
Iowa,990,682,2018,291.9,0.688888889
