STUSPS,NAME,NUMPOINTS
WV,West Virginia,"1966"
FL,Florida,"1067"
IL,Illinois,"560"
MN,Minnesota,"1983"
MD,Maryland,"2235"
RI,Rhode Island,"231"
ID,Idaho,"0"
NH,New Hampshire,"193"
NC,North Carolina,"389"
VT,Vermont,"89"
CT,Connecticut,"2452"
DE,Delaware,"151"
NM,New Mexico,"23"
CA,California,"8393"
NJ,New Jersey,"2802"
WI,Wisconsin,"214"
OR,Oregon,"7"
NE,Nebraska,"0"
PA,Pennsylvania,"710"
WA,Washington,"2195"
LA,Louisiana,"164"
GA,Georgia,"21"
AL,Alabama,"36"
UT,Utah,"2501"
OH,Ohio,"1731"
TX,Texas,"872"
CO,Colorado,"288"
SC,South Carolina,"377"
OK,Oklahoma,"1225"
TN,Tennessee,"644"
WY,Wyoming,"0"
ND,North Dakota,"254"
KY,Kentucky,"640"
ME,Maine,"446"
NY,New York,"8272"
NV,Nevada,"1288"
MI,Michigan,"199"
AR,Arkansas,"15"
MS,Mississippi,"0"
MO,Missouri,"25"
MT,Montana,"26"
KS,Kansas,"0"
IN,Indiana,"374"
SD,South Dakota,"226"
MA,Massachusetts,"3541"
VA,Virginia,"5182"
DC,District of Columbia,"524"
IA,Iowa,"1469"
AZ,Arizona,"923"
